Country,Capital
United States,Washington DC
Canada,Ottawa
Mexico,Mexico City
Brazil,Brasília
Argentina,Buenos Aires
United Kingdom,London
France,Paris
Germany,Berlin
Italy,Rome
Spain,Madrid
Russia,Moscow
China,Beijing
Japan,Tokyo
South Korea,Seoul
India,New Delhi
Australia,Canberra
New Zealand,Wellington
South Africa,Pretoria
Egypt,Cairo
Nigeria,Abuja
Kenya,Nairobi
Saudi Arabia,Riyadh
Turkey,Ankara
Iran,Tehran
Israel,Jerusalem
Indonesia,Jakarta
Thailand,Bangkok
Vietnam,Hanoi
Malaysia,Kuala Lumpur
Singapore,Singapore
Philippines,Manila
Colombia,Bogotá
Peru,Lima
Chile,Santiago
Venezuela,Caracas
Ecuador,Quito
Bolivia,La Paz
Switzerland,Bern
Austria,Vienna
Belgium,Brussels
Netherlands,Amsterdam
Sweden,Stockholm
Norway,Oslo
Denmark,Copenhagen
Finland,Helsinki
Poland,Warsaw
Czech Republic,Prague
Greece,Athens
Portugal,Lisbon
Ireland,Dublin